Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
pre-replicative complex assembly (GO:0036388),13/64,9.79398917228839e-07,0.000245027801837615,0,0,6.32764401097226,87.5513504302766,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),14/75,1.11256128784357e-06,0.000255147388678791,0,0,5.70168612191959,78.1635354703784,PSMD14;SIRT2;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
negative regulation of canonical Wnt signaling pathway (GO:0090090),21/165,2.09748607167839e-06,0.000444021666866072,0,0,3.64029777486911,47.5960599204368,MESP1;PSMD14;SIAH2;AMFR;FUZ;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;DDIT3;PSME3;DVL1;PSMC2;NKX2-5;EMD,GO_BP,turquoise,21
negative regulation of mitotic cell cycle phase transition (GO:1901991),15/92,2.77353053137475e-06,0.000545196858738809,0,0,4.8417945690673,61.9526473382197,PSMD14;MYO16;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2;CDK2AP2,GO_BP,turquoise,15
regulation of hematopoietic stem cell differentiation (GO:1902036),13/71,3.36265788330167e-06,0.000616935632989746,0,0,5.56193049848133,70.0957801070323,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
protein modification by small protein removal (GO:0070646),28/276,4.55818195311976e-06,0.000751857317594902,0,0,2.82884476072783,34.7907925744964,VCP;PSMD14;KEAP1;BABAM2;PSMD6;PSMD7;PSMB5;PSMB2;PSMD2;RUVBL1;UFD1;USP5;DESI1;SIAH2;USP2;ADRM1;COPS4;PSMA6;PSMA3;PSMC5;COPS5;PSMA1;TNIP1;PSMC4;PSME3;PSMC2;STAMBP;BAP1,GO_BP,turquoise,28
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",13/73,4.64446744153827e-06,0.000751857317594902,0,0,5.37597150259067,66.0160368032615,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",14/85,5.24401643375714e-06,0.000787114863210719,0,0,4.89607424051442,59.5285409615437,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;DVL1;PSMC2,GO_BP,turquoise,14
NIK/NF-kappaB signaling (GO:0038061),13/74,5.43429593059726e-06,0.000787114863210719,0,0,5.28756476683938,64.0999875204822,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
regulation of hematopoietic progenitor cell differentiation (GO:1901532),13/75,6.34047264736307e-06,0.000872449036277158,0,0,5.20200986127361,62.2605527993324,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
regulation of establishment of planar polarity (GO:0090175),14/88,7.96206491923281e-06,0.00104340965036803,0,0,4.69684859957234,55.1448642129535,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;DVL1;PSMC2,GO_BP,turquoise,14
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),14/89,9.11191860640708e-06,0.00113981818203783,0,0,4.63398184176394,53.7816562002061,PSMD14;FBXO31;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),13/78,9.90907208031046e-06,0.00118564201587019,0,0,4.96113989637306,57.1625508037215,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
regulation of cell cycle phase transition (GO:1901987),14/95,1.96340814921586e-05,0.00222016926683548,0,0,4.28937887303646,46.4893333337292,PSMD14;ANAPC10;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
protein deubiquitination (GO:0016579),26/267,2.03936507577776e-05,0.00222016926683548,0,0,2.69695329626775,29.1278694713519,VCP;PSMD14;KEAP1;BABAM2;PSMD6;PSMD7;PSMB5;PSMB2;PSMD2;RUVBL1;UFD1;USP5;SIAH2;USP2;ADRM1;PSMA6;PSMA3;PSMC5;COPS5;PSMA1;TNIP1;PSMC4;PSME3;PSMC2;STAMBP;BAP1,GO_BP,turquoise,26
negative regulation of Wnt signaling pathway (GO:0030178),21/191,2.09754363872538e-05,0.00222016926683548,0,0,3.07934246997228,33.1711651645216,PSMD14;SIAH2;AMFR;CTNNBIP1;FUZ;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;DDIT3;PSME3;DVL1;PSMC2;NKX2-5;EMD,GO_BP,turquoise,21
positive regulation of canonical Wnt signaling pathway (GO:0090263),16/130,5.08793621944124e-05,0.00518592610218603,0,0,3.48614057901581,34.4641711379261,VCP;PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;RUVBL1;PSMC2;LGR6,GO_BP,turquoise,16
regulation of stem cell differentiation (GO:2000736),13/91,5.39235650579939e-05,0.00529991610855712,0,0,4.13147668393782,40.6039172564207,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
cellular response to hypoxia (GO:0071456),16/131,5.58876354183202e-05,0.00530354388521438,0,0,3.45564538926895,33.8382581037973,PSMD14;SUV39H1;MT3;SIRT2;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,16
ubiquitin-dependent protein catabolic process (GO:0006511),30/354,6.88260627754131e-05,0.0063136441585979,0,0,2.31677704194261,22.2038245134296,VCP;UBE2D4;PSMD14;FAF1;UBE2D2;KEAP1;ANAPC10;PSMD6;COP1;PSMD7;PSMB5;PSMB2;PSMD2;UFD1;SIAH2;AMFR;ADRM1;SIRT2;PSMA6;RNF167;PSMA3;PSMC5;PSMA1;UBE2R2;PSMC4;DDIT3;PSME3;PSMC2;UBAP1;SPSB4,GO_BP,turquoise,30
interleukin-1-mediated signaling pathway (GO:0070498),13/94,7.60484310891492e-05,0.00675113814055931,0,0,3.97783534830167,37.7263480143387,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
non-canonical Wnt signaling pathway (GO:0035567),15/124,0.000105603077142342,0.00908186463424139,0,0,3.41463124031931,31.2637594088672,PSMD14;CAMK2A;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;DVL1;PSMC2,GO_BP,turquoise,15
DNA-dependent DNA replication (GO:0006261),15/129,0.000165207252284078,0.0132926493194983,0,0,3.26401230348599,28.4240303226399,BLM;PSMD14;GINS3;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,15
muscle contraction (GO:0006936),15/129,0.000165207252284078,0.0132926493194983,0,0,3.26401230348599,28.4240303226399,MYLK2;CHRNB1;MYBPC1;SMPX;TPM2;TPM1;MYL4;SLC6A8;ACTC1;DES;TNNI1;ANKRD2;MYL9;EMD;SNTA1,GO_BP,turquoise,15
regulation of canonical Wnt signaling pathway (GO:0060828),23/253,0.000170006864973587,0.0132926493194983,0,0,2.49146981627297,21.6251401542009,VCP;PSMD14;SIAH2;AMFR;FUZ;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;DDIT3;PSME3;PSMC2;RUVBL1;DVL1;NKX2-5;LGR6;EMD,GO_BP,turquoise,23
proteasomal protein catabolic process (GO:0010498),20/205,0.000173886400981809,0.0132926493194983,0,0,2.68927751280692,23.2813667843765,VCP;PSMD14;SIAH2;FAF1;SIRT2;PSMA6;PSMD6;PSMA3;PSMC5;COP1;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;DDIT3;PSME3;PSMC2;SPSB4,GO_BP,turquoise,20
positive regulation of telomerase RNA localization to Cajal body (GO:1904874),5/15,0.000198837832886754,0.0147892355703877,0,0,12.3108974358974,104.926037074323,CCT3;RUVBL1;TCP1;CCT8;CCT5,GO_BP,turquoise,5
post-translational protein modification (GO:0043687),28/345,0.000244547327618219,0.017710374884351,0,0,2.20505148581692,18.3374324071231,PSMD14;KEAP1;ASB12;KNG1;KBTBD13;PSMD6;COP1;PSMD7;PSMB5;PSMB2;PSMD2;STC2;QSOX1;RBBP7;FN3K;FBXO31;COPS4;PSMA6;PTP4A2;PSMA3;PSMC5;COPS5;PSMA1;PSMC4;PSME3;PSMC2;PNPLA2;SPSB4,GO_BP,turquoise,28
protein polyubiquitination (GO:0000209),26/314,0.000295104152587128,0.0208237596902507,0,0,2.25123517786561,18.2984497104618,ANKRD39;LRSAM1;UBE2D4;PSMD14;UBE2D2;ANAPC10;PSMD6;PSMD7;PSMB5;PSMB2;PSMD2;SIAH2;UBE2E3;AMFR;MUL1;FBXO31;PSMA6;RNF167;PSMA3;PSMC5;PSMA1;UBE2R2;PSMC4;PSME3;UBE2T;PSMC2,GO_BP,turquoise,26
positive regulation of Wnt signaling pathway (GO:0030177),16/153,0.000347472217869308,0.0239060885894084,0,0,2.8973830835382,23.0771516658573,VCP;PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;RUVBL1;PSMC2;LGR6,GO_BP,turquoise,16
tail-anchored membrane protein insertion into ER membrane (GO:0071816),5/17,0.000383779430265288,0.025327293605998,0,0,10.2580128205128,80.6838107298474,EMC3;EMC4;GET1;EMC7;EMC8,GO_BP,turquoise,5
positive regulation of establishment of protein localization to telomere (GO:1904851),4/10,0.000409192061902878,0.025327293605998,0,0,16.3969270166453,127.917771794778,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
protein insertion into ER membrane by stop-transfer membrane-anchor sequence (GO:0045050),4/10,0.000409192061902878,0.025327293605998,0,0,16.3969270166453,127.917771794778,EMC3;EMC4;EMC7;EMC8,GO_BP,turquoise,4
Fc-epsilon receptor signaling pathway (GO:0038095),13/111,0.000411878530717179,0.025327293605998,0,0,3.28488156920799,25.6049359920351,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),26/321,0.000414145425970171,0.025327293605998,0,0,2.1970031933186,17.1131024193627,VCP;PSMD14;FAF1;ANAPC10;PSMD6;COP1;PSMD7;PSMB5;PSMB2;PSMD2;UFD1;RNF175;HSPA5;SIAH2;AMFR;SIRT2;FBXO31;PSMA6;PSMA3;PSMC5;PSMA1;PSMC4;DDIT3;PSME3;PSMC2;SPSB4,GO_BP,turquoise,26
Fc receptor signaling pathway (GO:0038093),13/112,0.000449570572534157,0.0264935898505455,0,0,3.25153085256712,25.0602561847683,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
regulation of mitotic cell cycle phase transition (GO:1901990),18/188,0.000452470466197543,0.0264935898505455,0,0,2.62911266201396,20.246239409246,NPM2;PSMD14;TUBA4A;ANAPC10;SIRT2;PSMA6;PSMD6;ACTR1A;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,18
protein-DNA complex assembly (GO:0065004),15/143,0.000509118931824176,0.0284657111406882,0,0,2.90488027597403,22.0272101393581,PSMD14;H2BC5;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2;MNAT1,GO_BP,turquoise,15
regulation of telomerase RNA localization to Cajal body (GO:1904872),5/18,0.000514311435184018,0.0284657111406882,0,0,9.46844181459566,71.701494835173,CCT3;RUVBL1;TCP1;CCT8;CCT5,GO_BP,turquoise,5
positive regulation of proteasomal protein catabolic process (GO:1901800),11/86,0.000531083199886166,0.0284657111406882,0,0,3.62687338501292,27.3487719377403,SH3RF2;VCP;COP1;PSMC5;USP5;DVL1;PSMC2;KEAP1;SIRT2;HSPA1B;HSPA1A,GO_BP,turquoise,11
cellular response to lectin (GO:1990858),13/115,0.000580657554213609,0.0284657111406882,0,0,3.15540231636696,23.5120051013823,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
stimulatory C-type lectin receptor signaling pathway (GO:0002223),13/115,0.000580657554213609,0.0284657111406882,0,0,3.15540231636696,23.5120051013823,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
response to unfolded protein (GO:0006986),8/49,0.000588157693106972,0.0284657111406882,0,0,4.81501710770004,35.8165791980297,PACRG;HSP90AB1;HSPA5;DDIT3;HSPB1;BAK1;HSPA1B;HSPA1A,GO_BP,turquoise,8
actin-myosin filament sliding (GO:0033275),7/38,0.000608498360236044,0.0284657111406882,0,0,5.56795754208475,41.2280326024878,MYL4;MYBPC1;ACTC1;DES;TPM2;TPM1;TNNI1,GO_BP,turquoise,7
tRNA aminoacylation (GO:0043039),7/38,0.000608498360236044,0.0284657111406882,0,0,5.56795754208475,41.2280326024878,AARS1;MARS1;GATB;YARS1;YARS2;FARS2;FARSB,GO_BP,turquoise,7
muscle filament sliding (GO:0030049),7/38,0.000608498360236044,0.0284657111406882,0,0,5.56795754208475,41.2280326024878,MYL4;MYBPC1;ACTC1;DES;TPM2;TPM1;TNNI1,GO_BP,turquoise,7
regulation of establishment of protein localization to telomere (GO:0070203),4/11,0.00062308597316852,0.0284657111406882,0,0,14.0537772087068,103.728484923375,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
regulation of protein localization to Cajal body (GO:1904869),4/11,0.00062308597316852,0.0284657111406882,0,0,14.0537772087068,103.728484923375,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
positive regulation of protein localization to Cajal body (GO:1904871),4/11,0.00062308597316852,0.0284657111406882,0,0,14.0537772087068,103.728484923375,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440),4/11,0.00062308597316852,0.0284657111406882,0,0,14.0537772087068,103.728484923375,HSPA5;CREB3L1;DDIT3;ATF4,GO_BP,turquoise,4
tumor necrosis factor-mediated signaling pathway (GO:0033209),13/116,0.000630962347231824,0.0284657111406882,0,0,3.12460385331254,23.0229072389323,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434),12/102,0.000651744854574223,0.0289290619320687,0,0,3.29883570504528,24.1997883181294,SH3RF2;VCP;COP1;HSP90AB1;USP5;DESI1;DVL1;GLMN;KEAP1;SIRT2;HSPA1B;HSPA1A,GO_BP,turquoise,12
positive regulation of establishment of protein localization (GO:1904951),5/19,0.000675587431465226,0.0295113747840048,0,0,8.79166666666667,64.1785334619856,CCT3;PTP4A3;TCP1;CCT8;CCT5,GO_BP,turquoise,5
regulation of G2/M transition of mitotic cell cycle (GO:0010389),15/149,0.000784113907927292,0.0337168980408736,0,0,2.77393874781935,19.836314646485,PSMD14;TUBA4A;PSMA6;PSMD6;ACTR1A;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,15
innate immune response activating cell surface receptor signaling pathway (GO:0002220),13/119,0.000804457476159179,0.0340594919136932,0,0,3.03569508260827,21.6303670385991,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
cholesterol metabolic process (GO:0008203),10/77,0.000833566117698102,0.0347571811500784,0,0,3.68762638420799,26.1445244434002,FDPS;NSDHL;PMVK;SCAP;CEL;DHCR7;CYP46A1;MT3;TM7SF2;FDFT1,GO_BP,turquoise,10
"positive regulation of protein localization to chromosome, telomeric region (GO:1904816)",4/12,0.000905699664957443,0.0372012757904908,0,0,12.2964148527529,86.1585540510954,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
extracellular matrix disassembly (GO:0022617),9/66,0.00105310555845566,0.0426198014245584,0,0,3.89812805208899,26.7256119441125,MMP11;KIF9;CTSL;MMP15;CTRB2;CTRB1;HPN;TLL2;CAPN1,GO_BP,turquoise,9
cellular heat acclimation (GO:0070370),3/6,0.00110213833111652,0.0433297812461807,0,0,24.5677749360614,167.318906104287,RBBP7;HSPA1B;HSPA1A,GO_BP,turquoise,3
heat acclimation (GO:0010286),3/6,0.00110213833111652,0.0433297812461807,0,0,24.5677749360614,167.318906104287,RBBP7;HSPA1B;HSPA1A,GO_BP,turquoise,3
proteasomal ubiquitin-independent protein catabolic process (GO:0010499),5/22,0.00138762096571672,0.0537849703894704,0,0,7.23906485671192,47.634237826894,PSMA6;PSMA3;PSMB5;PSMA1;PSMB2,GO_BP,turquoise,5
T cell receptor signaling pathway (GO:0050852),15/158,0.00142680788798112,0.054535768162834,0,0,2.59812914358369,17.0237620561,STOML2;EIF2B2;PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,15
protein ubiquitination (GO:0016567),35/525,0.00168285593501482,0.0629799383716561,0,0,1.78333333333333,11.3906189587929,RNF10;LRSAM1;VCP;UBE2D4;PSMD14;FBH1;UBE2D2;KEAP1;ASB12;PSMD6;PSMD7;TRIM7;PSMB5;PSMB2;PSMD2;USP5;H2BC5;UBE2E3;AMFR;SIAH2;MUL1;FBXO31;PSMA6;RNF167;SH3RF2;PSMA3;PSMC5;PSMA1;UBE2R2;PSMC4;PSME3;UBE2T;PSMC2;TRIM54;SPSB4,GO_BP,turquoise,35
respiratory chain complex IV assembly (GO:0008535),5/23,0.00171638640184383,0.0629799383716561,0,0,6.83653846153846,43.5318919668895,COX19;COX14;TIMM21;COA8;COA6,GO_BP,turquoise,5
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),5/23,0.00171638640184383,0.0629799383716561,0,0,6.83653846153846,43.5318919668895,PSMC5;PSMC4;SUB1;PSMC2;NKX2-5,GO_BP,turquoise,5
positive regulation of microtubule nucleation (GO:0090063),3/7,0.00187251656137995,0.0664234912906973,0,0,18.4248721227622,115.716893435274,GIT1;HSPA1B;HSPA1A,GO_BP,turquoise,3
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),3/7,0.00187251656137995,0.0664234912906973,0,0,18.4248721227622,115.716893435274,PSMC5;PSMC4;PSMC2,GO_BP,turquoise,3
secondary alcohol biosynthetic process (GO:1902653),6/34,0.00188264255838459,0.0664234912906973,0,0,5.27792041078306,33.1193668627209,FDPS;NSDHL;PMVK;DHCR7;TM7SF2;FDFT1,GO_BP,turquoise,6
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),5/24,0.00209882694980924,0.073113566656646,0,0,6.47638326585695,39.9358187779412,HSPA5;CREB3L1;DDIT3;MT3;ATF4,GO_BP,turquoise,5
cholesterol biosynthetic process (GO:0006695),6/35,0.00219785670522507,0.0756062706597423,0,0,5.09565756274623,31.1868134539222,FDPS;NSDHL;PMVK;DHCR7;TM7SF2;FDFT1,GO_BP,turquoise,6
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619),3/8,0.00290886316968733,0.0976676665960559,0,0,14.7391304347826,86.0764176435092,ANKRD2;MT3;ATF4,GO_BP,turquoise,3
acyl-CoA metabolic process (GO:0006637),6/37,0.00294564546783163,0.0976676665960559,0,0,4.76640854693776,27.7758993454188,MCEE;ACOT2;ACOT1;DBI;MLYCD;ACSF2,GO_BP,turquoise,6
protein insertion into ER membrane (GO:0045048),6/37,0.00294564546783163,0.0976676665960559,0,0,4.76640854693776,27.7758993454188,EMC3;EMC4;GET1;EMC7;EMC8;EMD,GO_BP,turquoise,6
sterol biosynthetic process (GO:0016126),6/38,0.00338386191427926,0.110861761763054,0,0,4.61721758664955,26.2661394936056,FDPS;NSDHL;PMVK;DHCR7;TM7SF2;FDFT1,GO_BP,turquoise,6
cellular response to unfolded protein (GO:0034620),5/27,0.00361730334061859,0.117115515216263,0,0,5.59236596736597,31.4404294664484,PACRG;HSPA5;BAK1;HSPA1B;HSPA1A,GO_BP,turquoise,5
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436),9/79,0.00373133737761692,0.118030350151744,0,0,3.17203608247423,17.7348174595225,SH3RF2;VCP;COP1;USP5;DVL1;KEAP1;SIRT2;HSPA1B;HSPA1A,GO_BP,turquoise,9
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060),9/79,0.00373133737761692,0.118030350151744,0,0,3.17203608247423,17.7348174595225,SH3RF2;VCP;COP1;USP5;DVL1;KEAP1;SIRT2;HSPA1B;HSPA1A,GO_BP,turquoise,9
cellular component disassembly (GO:0022411),8/66,0.0041790826465176,0.128122570367402,0,0,3.40070119380464,18.6278968686176,MMP11;KIF9;CTSL;MMP15;CTRB2;CTRB1;TLL2;CAPN1,GO_BP,turquoise,8
cholesterol catabolic process (GO:0006707),3/9,0.00423661115677091,0.128122570367402,0,0,12.2819693094629,67.1085769515763,CEL;CYP46A1;MT3,GO_BP,turquoise,3
sterol catabolic process (GO:0016127),3/9,0.00423661115677091,0.128122570367402,0,0,12.2819693094629,67.1085769515763,CEL;CYP46A1;MT3,GO_BP,turquoise,3
protein K6-linked ubiquitination (GO:0085020),3/9,0.00423661115677091,0.128122570367402,0,0,12.2819693094629,67.1085769515763,ANKRD39;UBE2D4;UBE2T,GO_BP,turquoise,3
cardiac muscle tissue development (GO:0048738),7/53,0.00447256770128921,0.133307744966237,0,0,3.74938526880519,20.2833967022018,MESP1;MYLK2;ACTC1;MSX2;GATA5;NKX2-5;CACNA1G,GO_BP,turquoise,7
